level1,data_date,total_power
住宿业,2020-05-01,5.95807919E7
住宿业,2020-05-02,5.872423526000002E7
住宿业,2020-05-03,5.967547988000001E7
住宿业,2020-05-04,5.9721835029999994E7
住宿业,2020-05-05,5.976598698999996E7
住宿业,2020-05-06,5.9806696449999966E7
住宿业,2020-05-07,5.984502098999998E7
住宿业,2020-05-08,5.988904860999996E7
住宿业,2020-05-09,5.765154229999999E7
住宿业,2020-05-10,5.997597176999999E7
住宿业,2020-05-11,5.9287576370000005E7
住宿业,2020-05-12,5.9419824139999956E7
住宿业,2020-05-13,5.945839064000003E7
住宿业,2020-05-14,5.9505795480000034E7
住宿业,2020-05-15,5.9557170329999976E7
住宿业,2020-05-16,5.960799594999997E7
住宿业,2020-05-17,5.966175804E7
住宿业,2020-05-18,5.9715619769999996E7
住宿业,2020-05-19,5.976615903000001E7
住宿业,2020-05-20,6.046767157999996E7
住宿业,2020-05-21,6.051855323999998E7
住宿业,2020-05-22,6.056923805999997E7
住宿业,2020-05-23,6.062034639999999E7
住宿业,2020-05-24,6.067402148000002E7
住宿业,2020-05-25,6.072615844999995E7
住宿业,2020-05-26,6.077458692000002E7
住宿业,2020-05-27,6.078360423000001E7
住宿业,2020-05-28,6.083762458999999E7
住宿业,2020-05-29,6.088062530999998E7
住宿业,2020-05-30,6.093758537E7
住宿业,2020-05-31,6.098776277E7
住宿业,2020-06-01,6.104248497E7
住宿业,2020-06-02,6.114422610999997E7
住宿业,2020-06-03,6.110249693E7
住宿业,2020-06-04,6.116414570999999E7
住宿业,2020-06-05,6.122022823999998E7
住宿业,2020-06-06,6.1275949030000016E7
住宿业,2020-06-07,6.0857467369999975E7
住宿业,2020-06-08,6.0914942290000014E7
住宿业,2020-06-09,6.0188225659999974E7
住宿业,2020-06-10,6.025445843999998E7
住宿业,2020-06-11,6.0324102039999984E7
住宿业,2020-06-12,6.039921836999999E7
住宿业,2020-06-13,6.0440063680000015E7
住宿业,2020-06-14,6.051714134999995E7
住宿业,2020-06-15,6.0588326819999985E7
住宿业,2020-06-16,6.065418404999998E7
住宿业,2020-06-17,6.076263683999998E7
住宿业,2020-06-18,6.083627712999999E7
住宿业,2020-06-19,6.090221123000001E7
住宿业,2020-06-20,6.064276729999997E7
住宿业,2020-06-21,6.070001556999998E7
住宿业,2020-06-22,6.076025712999998E7
住宿业,2020-06-23,6.0826026509999976E7
住宿业,2020-06-24,6.089234371000001E7
住宿业,2020-06-25,6.095396839999997E7
住宿业,2020-06-26,6.097033708999993E7
住宿业,2020-06-27,6.103869946000001E7
住宿业,2020-06-28,6.1118070939999975E7
住宿业,2020-06-29,6.1187906940000005E7
住宿业,2020-06-30,6.125540242999999E7
住宿业,2020-07-01,6.132485744000002E7
住宿业,2020-07-02,6.137411305000002E7
住宿业,2020-07-03,6.144695449999999E7
住宿业,2020-07-04,6.1512708129999995E7
